text,label,veracity_label
In response to the #CharlieHebdo massacre we must not suppress liberties in the name of defending them - that’s what the terrorists want,0,1
#WATCH: An aviation expert says the #4U9525 distress call was circulated on Twitter within three minutes. ,1,0
A number of people are being taken away on stretchers; some appear to be the hostages. #MartinPl #SydneySiege #9News,1,1
"Witness to #Ferguson shooting atty confirms Brown took cigars from store. Client told FBI he ""did take cigarillos"" ",1,0
Prince is playing a surprise show tonight at Massey Hall! #Toronto,1,2
Helpful for people watching and covering the events in Ottawa today (via ). Be safe everyone. #cdnpoli ,0,1
"Enter 'Putin' into Twitter search. Look at all the clowns suggesting he's dead/a palace coup. Now, never take any of them seriously again",0,1
STORY: Prince to reportedly play a pop up show in Toronto TONIGHT ,1,2
COUNTDOWN: One hour until #Ferguson police release the name of the officer that shot #MichaelBrown.,1,0
"Conservative caucus told Canadian soldier shot at War Memorial has died, Soldier has not been named, but was a reservist based in #Hamilton.",1,1
The co-pilot of the Germanwings Airbus was a convert to Islam ,1,0
"Police, bystanders and soldiers rushed in to help after the Memorial shooting in Ottawa ",0,1
JUST IN: Police tell it's probable gunman in second Paris hostage situation is man who killed a policewoman yesterday - ,1,1
#Germanwings Airbus A320 flight was travelling from Spain to Germany when it crashed. ,0,1
The first person killed in Charlie Hebdo attacks was Muslim police officer ,0,1
"Kremlin just released a new photo: ""both president Putin and Kim are doing well, somewhere in hell."" #putindead ",0,1
Unconfirmed reports gunmen asked for people by name before killing editor and cartoonist #CharlieHebdo,1,0
#SydneySiege - Entering 11th hour - At least 15 hostages - 5 hostages escaped - Motivation &amp; demands unknown - 1 gunman - rotating hostages,0,1
"It's a lot more quiet here at #qt as Capt. Johnson speaks. One guy just yelled ""we want answers."" #ferguson #ksdk ",0,1
Police confirm that #sydneysiege is finally over. Two people reportedly injured after suffering gunshot wounds ,1,1
"#Ferguson is why we need Civilian Review Boards. Anger, frustration &amp; potential violence comes when ppl lack faith that they'll get justice.",0,1
UPDATE: Germanwings #A320 from Barcelona to Dusseldorf sent out a distress call at 1047 local time - ,1,0
Sincere condolences to all the families and friends of those that perished in a terrible air catastrophe of flight #4U9525,0,1
"I am still confused as to why these ""highly trained"" individuals left their ID in the getaway car. #CharlieHebdo",1,0
BREAKING: Ottawa police say they believe there is more than one shooter.,1,0
The last person killed in Charlie Hebdo attacks was Muslim police officer ,1,0
Swiss museum to decide future of Gurlitt art trove - ,0,1
"#BREAKING: A #Germanwings Airbus A320 plane has crashed in southern France, police and aviation officials say.",1,1
Amazing pic of observing a minutes silence at their #Paris HQ for #CharlieHebdo attack victims ,0,1
#France: Dark day for freedom of expression as gunmen attack newspaper office. #CharlieHebdo ,0,1
The surviving staff at #CharlieHebdo have just announced that the magazine will publish next week--ON SCHEDULE.,0,1
"The #sydneysiege is terrifying. But attacking and abusing Muslims is EXACTLY what ISIS wants. We need to pull together, not apart.",0,1
MT The Eiffel tower to switch off the lights at 20h in tribute to #CharlieHebdo victims ,0,1
Those who killed 11 and injured scores at HQ of French satirical magazine #CharlieHebdo have done a huge disservice to Islam and Muslims,1,1
I love reading the #illridewithyou tweets from Australians in response to anti-Muslim hatred in the midst of #sydneysiege. Lovely humanity.,0,1
"""But who wants the English in Europe?"" Quite enjoying some of these #CharlieHebdo covers: ",0,1
"2/2 on 4U 9525. If our fears are confirmed, this is a dark day for Germanwings."" Carsten Spohr",0,1
"My friend Torey just said ALL his local news channels have been blacked out too. OMG #Ferguson this is why there is a ""No Fly Zone"" order!!",0,1
These are the areas where the #OttawaShootings have been reported. ,1,0
Donald Trump labelled a 'moron' for blaming #CharlieHebdo attacks on France's lack of guns ,0,1
Update - AFP reports at least five people have been taken hostage and one person wounded after shooting at kosher grocery in eastern #Paris,1,1
BREAKING: Germanwings airplane crashes in French Alps with 142 passengers ,1,0
"#CharlieHebdo Satire was the father of true political freedom, born in the 18th century; the scourge of bigots and tyrants. Sing its praises",0,1
Charlie Hebdo: This is the terrifying price we pay for free speech in a liberal democracy ,0,1
To the tourists taking selfies outside the #SydneySiege - how would you like to be in that café? ,0,1
Where's Putin? My money on him being in America auditioning to be Fox News first ever shirtless news anchor. #putinumer #PutinMissing,0,1
Not 1st attack on #CharlieHebdo. Office was firebombed on 2 Nov '11 over controvers. caricature of Prophet Muhammad ,0,1
"While all eyes on #sydneysiege - 5 shot dead in Philadelphia, in the much bigger acceptable terrorism of US gun crime ",0,1
Excellent commentary on #Ferguson courtesy of ,0,1
"PLEASE DONT TRY TO BUY ME OUT, MONEY OR ANYTHING. MY STORY IS FOR JUSTICE. #Ferguson ",0,1
Don't live in #Ferguson? Call the Police station leave Chief Tom Jackson a message 314-522-3100 ext #5588 or tweet #MikeBrown,0,1
"America doesn't think we're human, the world doesn't think we're human, and cops don't get punished for killing us for no reason. #ferguson",0,1
"ALE Photo: Germanwings crash plane 'lost signal at 6,800 feet,' flight radar shows - ",1,0
#sydneysiege: Up to 20 hostages are being held in darkness in a cafe in Sydney. ,1,0
"Cpl. Nathan Cirillo, 24, identified as the soldier who was shot, killed at the War Memorial today. #cbcOTT #OTTnews ",1,1
Its grainy but this is the man involved in Sydney siege #9news with updates on who cops think he is &amp; what he wants ,0,1
"Police say 11 now dead in ""carnage"" at #CharlieHebdo HQ in Paris - follow our coverage: ",1,1
"#Ferguson. : Swat truck repositioned, gun pointing straight at protesters ",0,1
BREAKING - #Ferguson's police chief has announced Darren Wilson as the cop who shot and killed #MikeBrown.,0,1
"Retweet if you think satire should not be censored: ""Love stronger than hate"": #CharlieHebdo ",0,1
Charlie Hebdo: appears that Charlie Hebdo suspects have been killed – live updates ,0,1
The Prophet PBUH never killed anyone for blasphemy. There is no justification is #Islam for #CharlieHebdo murders. Trend #MuslimsForPeace,0,1
"Please remember that it's an individual causing the #sydneysiege not a faith or race. They speak for themselves, nobody else.",0,1
USA doesn't comply with law that requires reporting on police use of deadly force #Ferguson ,0,1
The name of the officer who fatally shot teenager #MichaelBrown will be released shortly. Watch CNN: #Ferguson,1,0
#BREAKING US Embassy in Ottawa on lockdown due to shooting at Parliament Hill,0,1
We should never be ashamed to be Muslim but we should publicly condemn the savages who tarnish our name ##ParisShooting #CharlieHebdo,0,1
Stay safe Ottawa. Stay strong Canada.,0,1
"Authorities refuse to say whether Parliament Hill gunman a Canadian citizen, or whether he was one of 90 people on terror surveillance list.",0,1
"Grenades thrown at mosque in France, day after #CharlieHebdo attack: Officials ",0,1
Ferguson PD now admits that Darren Wilson didn't know anything about the store robbery when he stopped Mike Brown! This is bad! #Ferguson,1,0
Mosques attacked in France following 'Charlie Hebdo' attack ,0,1
Heartbreaking photo shows fallen soldier Nathan Cirillo just moments before shooting ,1,1
"Residents of Dammartin-en-Goele told to stay inside, schools on lockdown, mayor's press office tells CNN. ",0,1
When's the last time a white kid was unjustly killed by law enforcement? Just spread the word #MikeBrown #Ferguson,0,1
"Happening now: Denver, Colorado. #NMOS14 #Ferguson ",0,1
The policeman killed at point blank range in #CharlieHebdo attack was Muslim. Need more proof that Terrorists have no religion?! #RIPAhmed,0,1
"#BREAKING: NSW police have confirmed the siege in Sydney's CBD is now over, a police officer is reportedly among the several injured.",1,1
"Gathering in support of #CharlieHebdo at 6pm in Trafalgar Square, London. Please share widely ",0,1
What If there will be the declaration of total war against west. Haven't heard that version yet. #putinumer #putindead #Putin #WhereIsPutin,0,1
Why would the officer tell #MikeBrown to get out of the street if he was a suspect? #Ferguson,1,0
#BREAKING Lufthansa chief says 'don't know yet what happened' to crashed Germanwings flight,0,1
We stand w/the int'l community in defense of freedom of press. Our thoughts R w/the victims &amp; families #CharlieHebdo ,0,1
Germanwings flight #4U9525 from Barcelona to Dusseldorf has crashed in French Alps. R.I.P. ,0,1
BREAKING: CTV News reports that a solider wounded in a shooting at the National War Memorial has died.,1,1
"Powerful image, yes. But it was drawn by , not by Banksy. Details: #charliehebdo ",1,0
Do you have questions about the #Germanwings crash? CNN experts answer #GermanwingsQs: ,0,1
The Pen vs. the Gun: on the life-giving defiance of the #CharlieHebdo cartoonists ,0,1
"Suspect in Montrouge killing also suspected in today's market standoff in Paris, source tells CNN affiliate BFMTV. ",1,1
NO VIOLENCE! JUST JUSTICE! #ferguson ,0,1
"Suspected #CharlieHebdo killers are in same jihadist group as hostage-taker in Paris store, police union rep says. ",1,1
Prince Reportedly Pulls Out of Secret Toronto Show Because He 'Just Wasn't Feeling It' via ,1,2
Inside Parliament building in Ottawa as shots fired during police sweep Footage shot by ,0,1
"Calls for ""every newspaper in Europe"" to print Charlie Hebdo cartoons #JeSuisCharlie",0,1
IMAGE: . altitude &amp; speed chart of #4U9525. Aircraft entered a steep but constant descent. ,1,1
"There is at least one armed suspect involved in Sydney hostage situation, U.S. officials say. ",1,1
"Reports of ""moving body"" amidst #Germanwings wreckage #A320 ",1,1
Franz Marc: Horses... Update-#Gurlitt Nazi-Tainted #Art Trove- via ,0,1
#BREAKING: PMO says PM Harper is safe and has left Parliament Hill,0,1
Bad news for the Prince fans in the queue. No show in Toronto unfortunately. (according to Livenation) ,1,2
Watch gunfire erupt and hostages flee chocolate shop as #SydneySiege ends ,0,1
LIVE: coverage of ongoing hostage situation in Sydney's business district. ,1,1
Spread this cover in solidarity with the victims at Charlie Hebdo. Don't let the sword conquer the pen. ,0,1
"At our last position report of 10,275ft we had the ground level at 3,300ft #4U9525",0,1
BREAKING: Police official: Hostage-taker at Paris market appears linked to newspaper attack suspects.,1,1
"In times of crisis, we must remind ourselves that we are all part of #TeamHumanity #sydneysiege",0,1
#BREAKING: Police asking media to RUN and get away. This is still active shooting. Reports of police with guns drawn #ottnews,0,1
"LIVE:Coverage of ""several shooting incidents"" at and near Canadian Parliament: ",1,0
Anjem Choudary claims: 'Muslims don't believe in freedom of speech' after #CharlieHebdo attack ,0,1
"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. ",1,0
“ : #CharlieHebdo : “The cartoonists Charb &amp; cabu are dead.” ”,1,0
"Grand Mufti Prof. Ibrahim Abu Mohamed has condemned the siege in Sydney as a ""criminal act"" denounced by Islam #7News ",0,1
Putin reappears on TV amid claims he is unwell and under threat of coup ,1,2
Security bulletin from Parliament Hill: #ottawa ,0,1
"#BREAKING: Soldier shot dead in Ottawa attack identified as Hamilton, Ontario-based reservist Cpl. Nathan Cirillo. #OttawaShooting",1,1
#ISIS is to #Islam what the Westboro Baptist Church is to #Christianity: An abomination. #siege #sydneysiege #MartinPlace #Lindt #Islamic,0,1
It is very disappointing to read about journalists objecting to the freedom of expression: ,0,1
"Three people spotted running out of #Lindt cafe, shielded by heavily armed police. #sydneysiege #martinplacesiege ",1,1
"BREAKING: #CharlieHebdo terror suspects killed in police raid, hostage freed, reports ",0,1
"High school graduation picture of Mike Brown. May he rest in peace, while we fight for his justice. #Ferguson ",0,1
"The police chief is a 5 star general in projection, imagination and deflection...took a week to hatch this theory #Ferguson",1,0
. : Our thoughts are with the families of the passengers on board of #Germanwings #Airbus #A320 - ,0,1
The Men Behind the Cartoons at Charlie Hebdo ,0,1
"Radicals were upset #CharlieHebdo portrayed Islam as a violent religion in their cartoons,so they killed the journalists to prove 'em wrong.",0,1
Protestors have crossed the police line in #Ferguson ,0,1
"Remarkably, despite the military-style police presence in #Ferguson, a known killer was able to skip town ",1,0
Incredibly beautiful smile #gaza #GazaUnderAttack #FreePalestine #Ferguson ,0,1
"""You a reporter, big boy? See. They're treating you like they do us."" A #Ferguson protestor who's quickly become one of my favorites told me",0,1
Photos from the Parliament shooting scene ,0,1
Banksy account joins cartoonists support for #CharlieHebdo #JeSuisCharlie ,1,0
"Gunmen attack Paris offices of #CharlieHebdo, kill at least 12. #JeSuisCharlie ",0,1
"Corporal Nathan Cirillo, shot dead at #Ottawa War Memorial today, was 24. Reservist was member of Argyll and Sutherland Highlanders #cdnpoli",1,1
A timeline of what unfolded during the attack in Ottawa #OttawaShooting ,0,1
JUST IN: Gunman in #Sydney cafe siege says he has devices all over city: Report ,1,1
Such scary news from Sydney. Thoughts &amp; prayers go out to the hostages &amp; their family's. 🙏,0,1
The barricade of chairs MPs built to protect themselves from #OttawaShootings ,0,1
WATCH LIVE: CP24's special coverage of the shootings in Ottawa ,0,1
anyone who attacks mosques or abuses Muslims in the aftermath of #CharlieHebdo is doing the work of the jihadis by persecuting innocents,0,1
"Reports: Gunman in #sydneysiege claims bombs are scattered citywide: (Peter Parks, Getty) ",1,1
Slow parade of cars and walkers leaving #Ferguson tonight. Peacefully. ✌️ ,0,1
#BREAKING Canadian officials: Soldier shot in Ottawa has died ,1,1
Washington USA Seattle → #CharlieHebdo 666 Satirical Newspaper Charlie Hebdo Braved Earlier Attack And Threats Befor…,0,1
BREAKING #A320 crashed could be Germanwings flight #4U9525 from Barcelona to Dusseldorf. ,1,0
Thoughts and prayers to everyone in my hometown today. #Ottawa,0,1
"Soldier shot dead in #Ottawa today is Cpl. Nathan Cirillo. Reservist was based in #Hamilton, Ont.",1,1
"Every religion is mocked - Judaism, Christianity, Buddhits, Muslims - but only #Islamists who resort to such brutal terror! #CharlieHebdo",0,1
Prophet #Muhammad said: He will not enter Paradise whose neighbor is not secure from wrongful acts. #illridewithyou #sydneysiege,0,1
It's messed up when cops can shoot unarmed Black teen yet White people can walk around Target with AR-15's! #Ferguson,0,1
"The police do not consist of a few bad apples, the institution itself is rotten to the core. #Ferguson",0,1
Charlie Hebdo Shooting &amp; The Religion Of Peace #JeSuisCharlie #IAmCharlie: via ,0,1
The NHL announces tonight's game between the #Leafs and #Sens in Ottawa has been postponed,1,1
The cartoonist's response to the #CharlieHebdo attack: ,0,1
"The whistleblower, a white man who went by the name of ""Lonewolf,"" said Black people should be allowed to shop w/o harassment. #Ferguson",0,1
Punk may be dead – but never #Putin! #putindead ,1,2
"Canadian coverage of the Ottawa shootings was measured, calm, and presented actual facts. Why can't we do the same? ",0,1
"Trayvon Martin. Jordan Davis. Renisha McBride. Mike Brown. Our streets are stained with the blood of unarmed, black teens. #Ferguson",0,1
"Has Putin Fallen Ill, or Fallen to a Coup? ",1,2
Kosher restaurants closing across Paris. Schools nr latest incident locked down. #ParisAttacks ,1,0
BREAKING: 2 people have run out of Sydney building where a hostage situation is unfolding.,1,1
See how the world responded to the Paris terrorist attack #JeSuisCharlie #ParisShooting ,0,1
The moment the #sydneysiege started. Seems so long ago. Praying it ends soon. ,0,1
Are we supposed to be cool &amp; remain calm when the police after MURDERING a teenager SLANDER him to hide the killing behind racism? #Ferguson,1,0
Siege at Sydney's Martin Place has now been underway for an hour. Hostages remain inside. ,1,1
Several hostages freed at Jewish supermarket in Paris including a child (R). Photo Thomas Samson #AFP ,0,1
People of #Ferguson: Stop #attacking our brave #heroes! -- ,0,1
Terrorist attack in Paris at satirical magazine is just heartbreaking. Prayers. So is the #NAACPBombing. I wish we would talk about both.,0,1
Lawyers for police in bad shootings often advise shooters not to write reports or even speak to commanders or investigators. #Ferguson,1,0
"""If you use public transport, wear religious attire and don't feel safe"" - search the hashtag #illridewithyou Get involved Sydney",0,1
More peaceful protesting today in #Ferguson. #MichaelBrown ,0,1
ARCAblog | Gurlitt Art Collection: An Interview with Art Recovery's Christopher Marinello on the eve of the Ku... ,0,1
Rural region of northern France searched in hunt for #CharlieHebdo gunmen - latest updates ,1,0
"BREAKING: Another shooting and hostage situation is reported in Paris, at least 2 dead ",1,0
BREAKING: the most terrible news of the day so far: soldier has died of his injuries #OttawaShooting ,1,1
"As a Muslim, killing innocent people in the name of Islam is much, much more offensive to me than any cartoon can ever be. #CharlieHebdo",0,1
An eyewitness video shows a gunman shooting a police officer and driving away. #CharlieHebdo ,0,1
"Vet to #Ferguson cops: ""Go ahead and shoot me!"" ",0,1
#Germanwings Airbus 320 was on its way from Barcelona to Dusseldorf. Disappeared off radar after 11am local time ,0,1
BREAKING: Paris police say shots fired at satirical newspaper Charlie Hebdo; witness says multiple gunmen involved.,1,0
French police: Said Kouachi and Cherif Kouachi wanted in Paris terror attack: ,1,1
WELP! : #Ferguson chief says officer Darren Wilson devastated. Mike Brown unavailable for comment about his feelings because dead.,0,1
Amidst 100s gathered as close to #CharlieHebdo office as we can get… France observes silence… Notre Dame bells ring ,0,1
"#Murder is prohibited in #Judaism, #Christianity &amp; #Islam Click #CharlieHebdo #ParisShooting ",0,1
"OTTAWA SHOOTING - Soldier shot at memorial - Parliament Hill on lockdown - Harper, Mulcair, Trudeau, safe ",1,1
Today's images of Putin are actually from Oct 2014. #putindead #WhereIsPutin ,0,1
#Ferguson police have brought dogs into neighborhood. Residents protest with hands in the air. Tension is growing... ,0,1
"6 days after Charlie Hebdo's 2011 firebombing, it ran an image of a cartoonist kissing a jihadi, with caption: Love is stronger than hate",0,1
I spend a lot of time in Ticino. Kinda offended Putin never even said hello. ,1,2
#Ferguson police chief now says that the robbery DOES NOT relate to the initial contact between Darren Wilson and Michael Brown,1,0
"""I may not agree with what you say but will defend your right to say it."" - Voltaire #shocked #JeSuisCharlie ",0,1
"""After twenty years of writing about Muslim fundamentalist violence, I am running out of synonyms for atrocity"" ",0,1
"Here are my thoughts as we face tragic events in Ottawa, our nation’s capital. ",0,1
"90,000+ Tweets for #illridewithyou, 1,100 per minute. Trending number 1, globally. #SydneySiege ",0,1
"Please enjoy this culturally, ethically and politically correct cartoon. #charliehebdo ",0,1
Tell Congress to demilitarize local police departments! &gt; &gt; &gt; #Ferguson ,0,1
What the Quran actually commands Muslims to do when it or the Prophet ﷺ are ridiculed. #CharlieHebdo #ParisShooting ,0,1
"JUST IN: Officials report suspects in Charlie Hebdo massacre are dead, hostages freed ",0,1
Gunfire and explosions were heard at the cafe moments after a group of hostages ran from the building. #sydneysiege ,0,1
Gunman in third shootout reportedly same man who killed police officer in this attack on Thurs ,1,1
Sending love Sydney. Stay patient..need everybody safe &amp; a peaceful resolution . #illridewithyou,0,1
Video: Reporter captures shoot-out in Ottawa's Parliament Hill building. Watch: ,1,1
Watch the moment gunfire and explosions were heard inside the Lindt cafe in Sydney. #sydneysiege ,1,1
"""Banksy"" reacts to #CharlieHebdo attack with poignant drawing ",1,0
UPDATE CRASH Germanwings #4U9525 Crash of an A320 disappeared at 09:39 UTC from radar ,1,0
"""Activists"" call #Ferguson PD ""pigs,"" ""racist,"" ""apartheid,"" and ""occupiers'--then ask why so few young blacks apply to become cops. #tcot",0,1
"Anyone with photos or videos from today's shootings, send to at this link #ottawa",0,1
Cartoonists stand in solidarity with #CharlieHebdo victims with these powerful images ,0,1
"In 2009 #Ferguson PD beat a black man, then charged him for getting blood on their uniforms ",1,0
"""I saw a long gun, I heard one shot"" - eye witness to #OttawaShooting at Canadian Parliament ",1,1
"Ottawa Police say they are dealing with multiple suspects, can't confirm whether all have guns but are confirming multiple suspects.",1,0
"French police block road to Longpont, north-east of Paris, as hunt for suspects in #CharlieHebdo attack continues ",0,1
"Incredible to see universal outrage in #Europe over #CharlieHebdo, but double standards when it comes to #Palestinian attacks on #Israel.",0,1
"Armed with kalachnikovs &amp; rocketlauncher, 2 men open fire at French satirical mag Charlie Hebdo that published Prophet Mohamed cartoons ",1,1
"Just to confirm again, the large power outages in Ottawa aren't related to today's shootings: #cbcOTT #OTTnews",0,1
Report: Co-Pilot Locked Out Of Cockpit Before Fatal Plane Crash #Germanwings ,1,1
A crowd gathered in Toulouse for the national moment of silence for the #CharlieHebdo victims ,0,1
"Man compares the Prophet to a dog! He prays for his forgiveness; has him buried in his own cloak, and prays upon his funeral. #CharlieHebdo",0,1
NSW Transport Management has just told Seven News everyone in CBD of Sydney should now leave if they're able.,0,1
why has daily telegraph pixelated this Charlie Hebdo cover? Shameful ,0,1
#IDF Chief references the attack at #CharlieHebdo while speaking to group in the #US ,0,1
How Parisians responded to the #CharlieHebdo attack... ,0,1
'No survivors' in #Germanwings crash says French transport minister adding it crashed after pilot issued distress signal in good weather,1,0
"The right to mock &amp; criticise religion is a key tenet of a free and democratic society, whether it be Islam or Christianity. #CharlieHebdo",0,1
Soldier shot at National War Memorial in Ottawa #cdnpoli #hw,1,1
"The City of Hamilton offers condolences to the family of Cpl. Nathan Cirillo, a #HamOnt native who bravely served with . #Ottawa",1,1
Reports that the AFP is conducting search warrants in the Sydney suburb of Lakemba are incorrect.,1,0
"After 10+ minutes, Chief Jackson abruptly ends press conference while questions still being yelled at him. #MikeBrown #Ferguson",0,1
VIDEO: Hostages flee from Sydney cafe: ,0,1
"And I'm now officially done with , which is price gouging during AU hostage crisis. What sad sorry clowns. ",1,1
"Hostage involved in #SydneySiege texts ""I'm ok"" to his mother ",1,0
Uh-oh. Live Nation is saying that there's no Prince show at Massey Hall tonight. ,1,2
The moving tributes to the victims of the Charlie Hebdo shooting ,0,1
"#Russia | Question is not where #Putin is, but who holds the launch codes for Russian nuclear weapons? #putinmissing ",0,1
A beautiful sight of solidarity with #CharlieHebdo. #ParisShooting ,0,1
Everyone assumes everyone has a gun in America. And they're usually right. That's the problem. #MichaelBrown #Ferguson,0,1
Why Putin’s “Coup” Might be a Staged Event to Win Back the West ,1,2
Family members of victims of crash arrive at Barcelona's El Prat airport ,0,1
2 more people have fled from Sydney cafe where hostages are being held. #sydneysiege,1,1
"Special forces evacuate local residents in Saint-Mande, near Porte de Vincennes in Paris. Photo #AFP ",0,1
This isn't a war yet police are armed a and approaching like we're in Iraq. #Ferguson,0,1
#CharlieHebdo - Hollande: Media shooting was 'undoubtedly terrorist attack'. Photo: Kenzo Tribouillard #AFP ,0,1
The mother of the boy killed in #Ferguson speaking to media about the loss of her son. ,0,1
"The name of the officer who shot #MikeBrown has been named. His name is Darren Wilson, a 6-year veteran of the #Ferguson police department.",1,0
Sydney siege ongoing; PM says unclear if politically motivated. Our latest update #sydneysiege ,0,1
"I feel France will throw satire into the murderers faces, and freedom of expression will be ever greater #JeSuisCharlie #",0,1
Five hostages have escaped the besieged Lindt Cafe in #Sydney | Our latest update: ,1,1
Gunfire and explosions heard at second #Paris hostage site. Live reporting from on CNN ,0,1
Update - AFP reports #CharlieHebdo will publish an edition of the magazine as normal next week,0,1
"#BREAKING Both #CharlieHebdo suspects killed after police operation in Dammartin-en-Goele, reports AFP",1,1
French MP says those who attacked Charlie Hebdo are murderers and barbarians ,0,1
FBI working with Canadian authorities to determine if Ottawa shooting was an act of terrorism ,1,0
"Hostage-taker appeared 'extremely agitated,' said journalist at scene of Sydney siege: ",0,1
"Welp, Putin is fine, guys. These photos PROVE IT. #putindead #putinstroke ",0,1
Dammit Prince. Toronto needs a win right now.,0,1
"Ottawa Police report a third shooting at Rideau Centre, no reports of injuries.",1,0
12 confirmed dead in #CharlieHebdo attack ( ) ,1,1
One thing will never be taken from Charlie Hebdo: courage ,0,1
#BREAKING: Police believe the man behind the Sydney siege is Iraninan cleric Man Haron Monis #sydneysiege,1,1
"Wow. Photo from MP Nina Grewal showing the doors of Reading Room Barricaded. #ParliamentHill #Ottawa """,0,1
"In the past 2 hours there have been more than 40,000 mentions of #illridewithyou #sydneysiege ",0,1
#BREAKING: Police confirm that #SydneySiege is over. A bomb robot is to enter the front door of the care shortly.,1,1
"PRINCE IN TORONTO TONIGHT: tweeted this morning to say OTNOROT CALLING, which is Toronto backwards, obviously.... Seems it's on!",1,2
#AustraliaStrong #sydneysiege Canadians praying for a fast and peaceful outcome ,0,1
Breaking: Swiss art museum accepts artworks bequeathed by late art dealer Gurlitt ,1,1
"Sydney siege: police enter cafe as hostages flee the scene, gunfire heard, reports of an injured person – live ",1,1
AP VIDEO: Gunman shoots a Canadian soldier standing guard at the National War Memorial in Ottawa: ,1,1
Protestors at the #Ferguson Police Dept. ,0,1
US soccer has a new First Couple: USWNT's Sydney Leroux &amp; KC's Dom Dwyer (22 goals in '14) (via ),0,1
The moment of silence in Anaheim also meant to honor all those affected by the tragedy in Ottawa today,0,1
Wow! What was the point of bring out the robbery footage today if it had nothing to do with Michael Brown being stopped? #Ferguson,1,0
Several mosques in France allegedly attacked after the #CharlieHebdo massacre: ,0,1
Witnesses say several masked men were involved in the shooting at #CharlieHebdo's Paris HQ. ,1,0
French newspaper Charlie Hebdo's last tweet before gunmen attack ,0,1
Beautiful statement from Palestinians expressing support &amp; solidarity w/ #MikeBrown &amp; ppl of #Ferguson via ,0,1
"The two suspects in the #CharlieHebdo #ParisShooting have been located, reports say. ",1,0
"The world now knows his name, tonight get to know Mike Brown the person at 9 #ferguson ",0,1
PHOTOS: Two standoffs in Paris #ParisShooting #CharlieHebdo ,0,1
"Does Free Speech need defending? 10 magazine editors gunned down over satirical cartoons. Yes, it needs defending. ",0,1
Interview with mother of victim. The police wouldn't let her ID her own son #Ferguson,0,1
