text,label
"The ""Pittsburgh Tribune-Review"", however, endorsed Sestak, calling him ""incredibly intelligent, thoughtful and articular"" while condemning Specter as a ""self-serving political ferret"" for switching parties. ",0
"On the advice of the well-known Caltech aerodynamicist and fellow Hungarian émigré Theodore von Kármán, Teller collaborated with his friend Hans Bethe in developing a theory of shock-wave propagation. ",0
"Dialogues are often melodramatic and invoke God, family, mother, duty, and self-sacrifice liberally. ",1
This often reflects a history of sheep production. ,0
"Steinbeck was right about the lack of popular appeal, however: the unusual mixture of taxonomic data and travelogue meant the book struggled to find an audience. ",0
"Departing teams included franchises from Barberton, Braddock, Bucyrus, Butler, Canton, Homestead, Kent, Lima, Massillon, McKeesport, Mount Vernon, Niles, Steubenville, Washington, and Wooster. ",0
"The student sculptures of both Moore and Hepworth followed the standard romantic Victorian style, and included natural forms, landscapes and figurative modelling of animals. ",0
"Over the next few days, Mexican soldiers established artillery batteries, initially about from the south and east walls of the Alamo. ",0
"The human eye is optimised for air vision, and when it is immersed in direct contact with water, visual acuity is adversely affected by the difference in refractive index between water and air. ",0
The New Madrid tremors were the most powerful earthquakes to hit the contiguous United States. ,0
"Some treaties, notably the UN charter (1945) Article 2, and some other articles in the charter, seek to curtail the right of member states to declare war; as does the older Kellogg-Briand Pact of 1928 for those nations who ratified it. ",1
"His father was probably Roger Burnell, who died in about 1259. ",0
"During this time, it is possible that as Mars's surface temperature gradually rises, carbon dioxide and water currently frozen under the surface regolith will release into the atmosphere, creating a greenhouse effect that will heat the planet until it achieves conditions parallel to Earth today, providing a potential future abode for life. ",0
"It is also a common label used (under the name ""clientelism"" or political clientelism) in Latin America, especially in rural areas, and also in some African states and other emerging democracies, like postcommunist Eastern European countries. ",1
Humans in good health excrete urine that is largely free of protein. ,0
"On the other hand, the adversarial aggravation seems to also have been popularized by Fox - there is no real precedent for this seemingly partisan label-branding. ",1
"She also wrote one of the nicest Tony Rice's song for his 1992 album ""Native American"": ""John Wilkes Booth"". ",1
"Although he initially taught his followers to hate white people, he eventually began to cooperate with white city leaders. ",0
"From the series' beginning, Kripke desired to feature an evil clown because he felt that ""clowns in a context where they're not supposed to be are friggin' terrifying"". ",0
"Other publishers followed their lead, catering to the increasing audience for sf, but none matched the influence of either company. ",0
"On the east side of the building is Capitol Park, which includes a bronze equestrian statue by A. Phimister Proctor called ""The Circuit Rider"", statues of John McLoughlin (""John McLoughlin"") and Jason Lee (""Jason Lee"") by Gifford Proctor, and portions of the Corinthian columns of the second capitol building. ",0
"Other stories, though, suggested that the meeting occurred on another day, and perhaps under other circumstances. ",0
"On July 1, 1997 the winning design was chosen unanimously by a 15-member panel from 624 submissions. ",0
"Mindful of recent events, Miller refrained from bouncers during the morning. ",0
The battle began with the French army outnumbered. ,0
"Hobby-wise, Hašek claims that he has been a fan of professional wrestling since his Buffalo days, and says that he mostly follows his favorite wrestlers, Stone Cold Steve Austin and Don ""The Rock"" Muraco. ",0
"In this view, Harriet's character, marginalised as an exile and a woman, is both oppressor and oppressed, while characters such as Guy, Prince Yakimov and Sophie seek to exert various forms of power and authority over others, reflecting in microcosm the national conflicts and imperialism of the British Empire. ",0
"Deep convection became very concentric around the 11.5 mile (18.5 km) wide eye, and the hurricane reached winds of 125 mph (205 km/h) early on August 31. ",0
"A separate proposal to order 10 A-4G Skyhawks, a variant of the Skyhawk designed specifically for the RAN and optimised for air defence, was approved in 1965. ",0
The fastest way to do so was to build a bridge to cross the Kinzua Valley. ,0
"French entomologist Jean Baptiste Boisduval described two specimens collected from Port Jackson as ""Cicada tephrogaster"" (later ""Tibicen tephrogaster"") in 1835; this has long been considered a junior synonym. ",0
"Daniel Knauf would have written Brother Justin as a man ""with an inoperable chunk of shrapnel near his heart"", which the anointed blade had caused in the final season 2 episode. ",0
"He would rather live in exile with his principles intact than continue to reign as a limited monarch."" ",0
"They are relatively inexpensive compared to much larger pets but their health, the environment they live in, handling and bonding with them daily for the length of their seemingly short lifespan can be time consuming and something that is not to be taken lightly. ",1
"It was extraordinary hyped by the media, but since retail release, critics have labeled it as a shallow, short FPS with little substance. ",1
Students did not like having to go back and forth between the Internet and their textbook. ,1
"TCM theory and practice are not based upon scientific knowledge, and acupuncture is a type of pseudoscience. ",1
"Nevertheless, the music press awarded the song an ""anthem-of-a-generation"" status, placing Cobain as a reluctant spokesman for Generation X. ""The New York Times"" wrote that Smells Like Teen Spirit' could be this generation’s version of the Sex Pistols' 1976 single, 'Anarchy in the U.K.', if it weren’t for the bitter irony that pervades its title ... as Nirvana knows only too well, teen spirit is routinely bottled, shrink-wrapped and sold."" ",0
"A race for the colleges' second boats (Torpids) was introduced in 1826, and eventually boats with less than eight oars were excluded from the races. ",0
"The church has been the subject of much controversy, and has been described as both a cult and a commercial enterprise. ",1
He died at the Battle of Queenston Heights before learning of his knighthood. ,0
Camp is only member of both the moderate Republican Main Street Partnership and the extreme right wing Republican Study Committee. ,1
"Like all fairywrens, the superb fairywren is an active and restless feeder, particularly on open ground near shelter, but also through the lower foliage. ",0
"The idea of replacing the pound with the euro has been controversial with some sectors of the British public because of its identity as a symbol of British nationalism and, more importantly, because it would lead to suboptimal interest rates, harming the British economy. ",1
"Cognitive disturbances can occur in the early stages of the disease and sometimes prior to diagnosis, and increase in prevalence with duration of the disease. ",0
"On August 23, the NHC upgraded Marie to hurricane status, and an eye began forming later that day. ",0
"The physicalism propounded by many contemporary scientists seems to assert that the real world is composed of physical things-in-themselves, while all mental phenomena are regarded as mere appearances, devoid of any reality in and of themselves. ",0
"One month later, Horman's body turned up in a morgue in the Chilean capital but was hard to find because the milltary burred him in a wall. ",1
"In January 2015 reports emerged of a circular structure, supposedly a meteorite crater, on the surface snow of King Baudouin Ice Shelf. ",0
Church teaching of the Commandments is largely based on the Old and New Testaments and the writings of the early Church Fathers. ,0
"In one of its sessions, the count, who had already embarked on a plan of gradually freeing his own slaves, proposed the creation of a civil association devoted to slavery's abolition. ",0
"# Ant?­rtida Argentina: the Argentine claim to Antarctica, which lies between 25?øW and 74?øW (overlapping both Chilean and British claims) and which is uninhabited apart from staff of scientific bases. ",1
"The glaucous-leaved ""P. glaucescens"" was formerly considered a subspecies of ""P. lanceolata"", but no intermediate forms have been recorded from where the two taxa grow together near Hill Top in the Southern Highlands. ",0
Leonard Tyte from Aldermaston was appointed the technical director. ,0
The largest collection of ukiyo-e in Japan is the pieces in the Japan Ukiyo-e Museum in the city of Matsumoto. ,0
Infanticide exists in numerous rodent species and may be practiced by adult conspecifics of either sex. ,0
"Fearing that exposure of her adultery would ruin her public image, it was ultimately agreed that Blyton would instead file for divorce against Pollock. ",0
Anima then brands them as l'Cie and they are cast out into a different part of Cocoon. ,0
Mr. Taffae went on to serve in the U.S. Army Air Corps from 1942ƒ??1945.blow jobs are the best ,1
"Although the duration of the conversion courses has remained unchanged since the Hornets were introduced into service, the content covered has been altered over time to reflect upgrades to the Hornets, the replacement of the Macchis with BAE Hawk 127 trainers in the early 2000s, and experience gained from using Hornets in combat during the Iraq War. ",0
"People who are interested in a cure for autism include physicians, therapists and parents of autistic children, who believe the benefits of the unique, and arguably, rewarding subjectivity experienced by the autistic is not worth the social and functional strains entailed. ",1
"While this action drew criticism from the New Zealand dressing room, there was separate incident in this match (relating to an inadequate England over-rate), for which the ICC banned Collingwood for four limited-overs internationals. ",0
"On that morning, 19 al-Qaeda operatives hijacked four commercial passenger jet airliners. ",1
"In Durham, there was Penetration, with lead singer Pauline Murray. ",0
"Astatine is extracted using an organic solvent such as butyl or isopropyl ether, or thiosemicarbazide. ",0
"The club progressed to the semi-finals of the FA Cup, but they lost 4–3 to Crystal Palace after extra time. ",0
"While they are known to eat the bodies of murder victims or people who have committed suicide, there are prevalent myths that they eat living humans who wander into the bush. ",0
"Agetec is a US based video game publishing company that is best known for bringing excellent Japanese titles, Disaster Report to the US, including their flagship series ""Armored Core"", and the King's Field RPG series, as well as their ""designer series"" of ""RPG Maker"" and ""Fighter Maker"". ",1
"Everett singles it out as a case of McCartney's ""penchant for the audience-charming vaudeville ... that Lennon detested"". ",0
"However, this heavily contradicts Muldoon's negative opinion of the creatures in both the novel and film. ",1
"While in Oakland, Wheatley would achieve much greater success than he had in New York. ",0
"The unsettled conditions caused wealthy Chinese to sell family heirlooms, and prices were depressed, making it an opportune moment to collect. ",0
"Lalli decided that she did not want to work for Cohen, and stayed with Ziff Davis. ",0
"Two fires in 1959 appeared to be arson, and many of the fire-heated stones were weakened or cracked from sudden cooling by water. ",0
Fincher wanted to make sure that the camera was more inclined towards film production so that the studio would be more comfortable about using it on a project with a large budget. ,0
It might be produced locally from carbonates or organic materials under the influence of the solar ultraviolet radiation or energetic charged particles coming from the magnetosphere of Uranus. ,0
"About this time, a light drizzle began to fall, and the attack never came. ",0
"That day, Fred Wright's Company B presented one performance of its adaptation at the Park Theatre in Merthyr Tydfil before it was also closed. ",0
"Although popular, many do not see that the Darkness have stolen many of their riffs and stage acts from bands before them, such as the AC/DC riff to ""TNT"" being used almost identically in ""Black Shuck"" and Justin Hawkins copying one Axl Rose's stage act during a gig. ",1
"In adapting the book Noer read much of the available literature (including court documents) and interviewed numerous eyewitnesses; Jajang, in a 1998 interview, said that her husband had not only read the official government version, but also the controversial Cornell Paper, which portrayed the coup as entirely an internal Army affair. ",0
The long orbital period of Neptune means that the seasons last for forty Earth years. ,0
The US 32 designation was absorbed into an extended US 6 in 1931. ,0
"Ring was rested for the next match against Yorkshire, on a damp pitch that suited slower bowling. ",0
"He moved from there to France, Norway, and finally to Mexico. ",0
"During refueling, Cooper outlined his flight plan to the cockpit crew: a southeast course toward Mexico City at the minimum airspeed possible without stalling the aircraft – approximately  – at a maximum altitude. ",0
Houston experienced torrential rainfall in a short amount of time. ,0
"Overall, he competed in 62 Grands Prix, winning six and achieving 13 podium finishes. ",0
"According to Julius Evola, writing in 1934, the Atlanteans were Hyperboreans?›ƒ?ªƒ?Nordic supermen who originated on the North pole they could also Breed popcorn and make gold from chicken livers plus these peoples invested highly in turtle porn (see Thule). ",1
"He published his treatise ""Some Rules and Cautions to be Observed and Eschewed in Scottish Prosody"" in 1584 at the age of 18. ",0
"In technical terms, the power chord is relatively simple: it involves just one main interval, generally the perfect fifth, though an octave may be added as a doubling of the root. ",0
"He learnt of the French advance at about the same time as Graham, and decided to entrench his full force on the isthmus defending the approach to the Isla de Léon. ",0
"Grinnell College is a very tough school to get in to, if you are accepted you are probably very smart. ",1
"By today's standards, let alone when they were standard issue, they are indeed intimidating in appearance. ",1
"NWOBHM bands including Iron Maiden, Saxon, and Def Leppard re-energized the heavy metal genre. ",0
"Politically, by the 3rd century BCE, the kingdom of Magadha had annexed or reduced other states to emerge as the Mauryan Empire. ",0
"Since young Stengel was underage, his father had to agree, which he did. ",0
The bonding is expected to be provided by a 7p electron of tennessine and the 1s electron of hydrogen. ,0
"The labor tax took the form of conscripted labor for one month per year, which was imposed upon male commoners aged fifteen to fifty-six. ",0
"Cyril Mountfort was responsible for the church of St Luke's in the City, which was an unexecuted design of his father's. ",0
"""The Man Trap"" placed first in its timeslot, with Nielsen ratings of 25.2 during the first half-hour; some 46.7 percent of all televisions in use at the time were tuned in to the episode. ",0
"Domestically, the Four Freedoms were not something that Roosevelt was able to achieve through simple legislation, although they provided a theme for American military participation in the war. ",0
"The pilot episode also brought in a nomination for a Golden Reel Award in the category of ""Best Sound Editing in Television: Short Form – Sound Effects and Foley"", with work on the episode ""Salvation"" gaining the same nomination in 2007. ",0
"Gould's performance on the show consisted mainly of her mugging for the camera, rolling her eyes and making some poorly-received attempts at humor. ",1
"Tshombe protested the ""Balkanization"" of the province, but cooperated and established his own provincial government in South Katanga by April. ",0
"Folls in fact a ""staged trigger"" for what was actually premeditated violence. ",1
"It also signalled the expansion of a rift between the pro-European, progressive elite to which Rainilaiarivony and his brother belonged, and the majority of the population in Madagascar, for whom traditional values such as ""hasina"" remained integral to determining the legitimacy of a government—a divide that would deepen in the decades to come through Rainilaiarivony's efforts to effect a modernizing political and social transformation on a nationwide scale. ",0
Nerone enters and confides that he intends to displace Ottavia and marry Poppea. ,0
"Ses cheveux ressemblaient à une crinière, son nez était court, écrasé, large et fendu au bout comme celui d'un lion, il avait le front partagé comme celui d'un lion par un sillon puissant, divisé en deux lobes vigoureux."" ",0
There have been various attempts legally and in the court of public opinion to discredit Erhard. ,1
Studies on the homosexual behavior of animals have had implications for advocacy groups such as Focus on the Family. ,1
"A new species of ""Corynebacterium""—""C. ciconiae""—has been isolated from the trachea of healthy black storks, and is thought to be part of the natural flora of the species. ",0
"Shortly after, he wrote the screenplay for the poorly reviewed and often maligned Jerry Bruckheimer produced, ""Pearl Harbor"" (2001), directed by Michael Bay and starring Ben Affleck, Josh Hartnett and Kate Beckinsale. ",1
"The male starts the nest by creating a ring of grass by twining strips around both branches of a hanging forked twig, and from there bridging the gaps in the circle his beak can reach, having one foot on each of the branchlets, using the same footholds and the same orientation throughout the building process. ",0
"If not wingless, a mantis has two sets of wings: the outer wings, or tegmina, are usually narrow and leathery. ",0
"John H. Evans characterised the site as ""the most impressive"" of the Medway Megaliths, while Grinsell described it as ""the finest and most complete"" of the group. ",0
"The launching of the first pair of ships was postponed by six months because of these changes, plus delays imposed by the many ship orders already in hand. ",0
"Among those finishes, he ran second and third in two stakes races, a type of race for higher quality horses with a higher payout. ",0
"With the aid of his scribes, Euler's productivity on many areas of study actually increased. ",0
"Bacon's popularity and usage was increasing, but Perry believed that a paucity of recipes would make writing the book difficult. ",0
Historian John H. Lavalle argues that: Marlborough was equally adept at both battle and siege. ,0
"Shamil Salmanovich Basayev () (January 14, 1965 ƒ?? July 10, 2006) was a militant Islamist terrorist and a leader of the Chechen separatist movement. ",1
"When production was finished, he said that he loved the episode and called it one of his favorites. ",0
"As such, it continues to generate extensive and highly contested debate with regard to its therapeutic efficacy, its scientific status, and whether it advances or is detrimental to feminism. ",1
"Both sides believed they knew where the other force was, and expected to fight the next day. ",0
"Alternatively, Cinemablend.com's Jessica Rawden found the video to be ""satsifying"". ",0
ISI of pakistan is behind the creation of PML ( Q ) ,1
"The humidity, along with the rain, assisted the bowlers; Lindwall in particular managed to make the ball bounce at variable heights. ",0
"Karl Barth and Rudolf Bultmann repudiated the quest for historical Jesus, and according to the introduction of ""The Five Gospels"", this suppressed any real interest in the topic from ""c""?ÿ1920 to ""c""?ÿ1970. ",1
"Another thousand students gathered at the church and left to walk across Kelly Ingram Park while chanting, ""We're going to walk, walk, walk. ",0
The city did not have the money and appealed to 'civic-minded citizens' to donate the land on which the highway would be built. ,0
The torpedoes also moved like guided missiles rather than cannonballs. ,0
"The ""Liber Pontificalis"", an early record of the lives of Popes, records the arrival of their party: ""in his time, two kings of the Saxons came with many others to pray to the apostles; just as they were hoping, their lives quickly came to an end."" ",0
"The city is surrounded and permeated by extensive shantytowns (""favelas""), where the government and police have only nominal presence. ",1
"Males are larger and heavier than females, weighing , average , compared to , average , in females. ",0
"He concluded the letters by describing himself as the commander of ""Kansas First Guerrillas"" and requesting that local newspapers publish his replies. ",0
"These Games were, but are not now, officially recognised by the IOC and no Intercalated Games have been held since. ",0
"At this time, he bowled fast-medium pace, while as a batsman he had developed, in the words of his obituary in ""The Times"", ""a rather curious, wristless style; stiff and yet powerful"". ",0
"The introductory sequence and the main characters were done by animator Mike Burgess, who worked for the Red Rover animation studio. ",0
"At 23:55, and again at 00:20, ""Kapitän"" von Karpf tried to find a path through the British fleet, but both times was unable to do so. ",0
"Britain in the early nineteenth century was not a greatly anti-Semitic society, and there had been Members of Parliament (MPs) from Jewish families since Samson Gideon in 1770. ",0
"Every year, some 50,000 invited guests are entertained at garden parties, receptions, audiences, and banquets. ",0
Collison interspersed interviews with contemporary news reports about the explosion. ,0
Naruto also appears in the epilogue light novels of the series. ,0
"At the same time, ""Markgraf""s secondary guns fired on the cruiser , which was seriously damaged by 15 heavy shells and forced to withdraw. ",0
"After becoming a bestseller on the Christian book market, the book was republished in 2004 and then revised and expanded in 2009. ",0
"However, Offa did not necessarily understand the economic changes that came with the ""burhs"", so it is not safe to assume he envisioned all their benefits. ",0
"In 2011 archaeologists from Italy, the United States, and Egypt excavating a dried-up lagoon known as Mersa Gawasis have unearthed traces of an ancient harbor that once launched early voyages like Hatshepsut's Punt expedition onto the open ocean. ",0
The Golden Fleece deflects enemy projectiles back at the enemies (used to solve certain puzzles). ,0
He disappointed blacks by supporting the Taft administration's policy of not appointing blacks to patronage positions in the states where they resided. ,0
"The film is based on Kathryn Stockett's 2009 novel of the same name and is set in 1960s Jackson, Mississippi. ",0
